þ|****************************|
|*******|EduExo Tests|*******|
|**|        Menu          |**|
|****************************|

Please, select one of the following options:
e) Enable
d) Disable
s) Position Sensor Calibration
m) Map Position Sensor to motor position
p) Set a position
c) Enter in the Control Loop
Motor disable!
Move the EduExo to 0 degrees. Press c to continue
Move the EduExo to 90 degrees. Press c to continue
302
Position sensor calibrated!
99
Motor enable!
Sensor and motor position mapped!
0.02, 56.22, 35.00
0.02, 54.44, 35.00
0.02, 52.56, 34.00
0.02, 50.59, 32.00
0.02, 48.57, 31.00
0.02, 46.51, 31.00
0.02, 44.43, 28.00
0.02, 42.36, 26.00
0.02, 40.31, 26.00
0.02, 38.32, 24.00
0.02, 36.40, 39.00
0.02, 34.57, 38.00
0.02, 32.86, 35.00
0.02, 31.27, 32.00
0.02, 29.84, 31.00
0.02, 28.56, 29.00
0.02, 27.47, 27.00
0.02, 26.57, 27.00
0.02, 25.86, 25.00
0.02, 25.36, 25.00
0.02, 25.07, 24.00
0.02, 25.00, 24.00
0.02, 25.15, 24.00
0.02, 25.51, 23.00
0.02, 26.08, 24.00
0.02, 26.85, -11.00
0.02, 27.88, 23.00
0.02, 29.04, -8.00
0.02, 30.38, -5.00
0.02, 31.87,
